"1","Zielona mila","The Green Mile","1999","8.6","movie","https://fwcdn.pl/fpo/08/62/862/7517878.6.jpg"
"2","Skazani na Shawshank","The Shawshank Redemption","1994","8.8","movie","https://fwcdn.pl/fpo/10/48/1048/6925401.6.jpg"
"3","Forrest Gump",,"1994","8.5","movie","https://fwcdn.pl/fpo/09/98/998/7314731.6.jpg"
"4","Leon zawodowiec","Léon","1994","8.1","movie","https://fwcdn.pl/fpo/06/71/671/7016965.6.jpg"
"5","Requiem dla snu","Requiem for a Dream","2000","7.8","movie","https://fwcdn.pl/fpo/91/36/9136/6908595.6.jpg"
"6","Matrix","The Matrix","1999","7.6","movie","https://fwcdn.pl/fpo/06/28/628/7685907.6.jpg"
"7","Milczenie owiec","The Silence of the Lambs","1991","8.2","movie","https://fwcdn.pl/fpo/10/47/1047/7714177.6.jpg"
"8","Gladiator",,"2000","8.1","movie","https://fwcdn.pl/fpo/09/36/936/7472818.6.jpg"
"9","Avatar",,"2009","7.4","movie","https://fwcdn.pl/fpo/91/13/299113/7332755.6.jpg"
"10","Shrek",,"2001","7.8","movie","https://fwcdn.pl/fpo/95/09/9509/7640796.6.jpg"
"11","Szeregowiec Ryan","Saving Private Ryan","1998","8.1","movie","https://fwcdn.pl/fpo/01/79/179/7710998.6.jpg"
"12","Podziemny krąg","Fight Club","1999","8.3","movie","https://fwcdn.pl/fpo/08/37/837/7522091.6.jpg"
"13","Pulp Fiction",,"1994","8.3","movie","https://fwcdn.pl/fpo/10/39/1039/7517880.6.jpg"
"14","Titanic",,"1997","7.3","movie","https://fwcdn.pl/fpo/01/87/187/7451731.6.jpg"
"15","Nietykalni","Intouchables","2011","8.7","movie","https://fwcdn.pl/fpo/33/90/583390/7441162.6.jpg"
"16","Szósty zmysł","The Sixth Sense","1999","7.8","movie","https://fwcdn.pl/fpo/08/25/825/6901015.6.jpg"
"17","Ojciec chrzestny","The Godfather","1972","8.6","movie","https://fwcdn.pl/fpo/10/89/1089/7196615.6.jpg"
"18","Incepcja","Inception","2010","8.3","movie","https://fwcdn.pl/fpo/08/91/500891/7354571.6.jpg"
"19","Wyspa tajemnic","Shutter Island","2010","8.2","movie","https://fwcdn.pl/fpo/42/56/464256/7317256.6.jpg"
"20","Siedem","Se7en","1995","8.3","movie","https://fwcdn.pl/fpo/07/02/702/6967799.6.jpg"
